City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,gadzhiyevo,69.2551,33.3362,256.42,98,32,4.69,RU,1702353261
126,hithadhoo,-0.6,73.0833,301.0,74,58,2.33,MV,1702353262
127,sur,22.5667,59.5289,296.99,53,3,1.05,OM,1702353262
128,taltal,-25.4,-70.4833,290.9,77,67,1.0,CL,1702353021
129,la'ie,21.6477,-157.9253,301.13,78,18,0.89,US,1702352982
130,timaru,-44.4,171.25,285.5,68,89,5.67,NZ,1702353264
131,winkler,49.1817,-97.941,269.13,68,21,7.72,CA,1702353264
132,troyan,42.8943,24.7159,276.46,75,100,0.55,BG,1702353265
133,ocean shores,46.9737,-124.1563,281.64,92,100,3.6,US,1702353265
134,carambei,-24.9178,-50.0972,286.14,97,25,2.9,BR,1702353265
135,thabazimbi,-24.5917,27.4116,292.26,88,5,0.84,ZA,1702353266
136,goure,13.9835,10.2704,286.91,40,0,4.07,NE,1702353266
137,dedovichi,57.5517,29.9502,271.11,96,100,4.51,RU,1702353267
138,gamba,-2.65,10.0,298.47,88,100,1.19,GA,1702353267
139,porto torres,40.835,8.3972,287.25,94,63,5.12,IT,1702353268
140,almodovar del campo,38.7094,-4.1791,282.3,64,100,1.86,ES,1702353268
141,shimanovsk,52.0,127.7,250.87,64,5,3.81,RU,1702353269
142,soanierana ivongo,-16.9167,49.5833,299.16,81,30,1.98,MG,1702353269
143,mweka,-4.85,21.5667,292.91,100,100,0.41,CD,1702353269
144,lebu,-37.6167,-73.65,285.08,95,97,5.09,CL,1702353270
145,angaur state,6.906,134.13,301.75,76,62,5.34,PW,1702353270
146,tazovsky,67.4667,78.7,247.95,92,100,4.06,RU,1702353271
147,machico,32.7,-16.7667,293.55,70,40,2.57,PT,1702353271
148,sydney mines,46.2367,-60.2177,286.86,93,100,11.83,CA,1702353272
149,fale old settlement,-9.3852,-171.2468,302.22,79,100,8.38,TK,1702353272
150,santa ana,33.7456,-117.8678,290.75,68,0,0.0,US,1702352742
151,portland,45.5234,-122.6762,282.38,91,20,3.13,US,1702353200
152,coquimbo,-29.9533,-71.3436,288.0,88,0,2.06,CL,1702353274
153,vernon,50.2581,-119.2691,275.24,91,63,0.0,CA,1702353001
154,munderkingen,48.2357,9.644,281.62,96,75,1.54,DE,1702353275
155,midvagur,62.0511,-7.1939,278.61,93,75,3.09,FO,1702353275
156,korsakov,46.6328,142.7813,267.06,64,100,1.28,RU,1702353276
157,ust'-ilimsk,58.0006,102.6619,241.73,96,99,0.22,RU,1702353008
158,namibe,-15.1961,12.1522,294.52,76,22,2.15,AO,1702353277
159,eureka,40.8021,-124.1637,284.96,94,34,2.84,US,1702353277
160,patterson,37.4716,-121.1297,283.59,70,18,1.92,US,1702353278
161,vorgashor,67.5833,63.95,256.28,94,100,6.9,RU,1702353278
162,general acha,-37.377,-64.6043,294.58,62,53,3.3,AR,1702353279
163,minas,-34.3759,-55.2377,289.3,95,52,5.48,UY,1702353206
164,ola,59.5833,151.2833,266.85,93,100,6.41,RU,1702353280
165,san antonio de pale,-1.4014,5.6325,299.64,83,98,2.49,GQ,1702353280
166,jamestown,42.097,-79.2353,274.92,86,100,4.12,US,1702353280
167,ancud,-41.8697,-73.8203,282.69,86,90,3.72,CL,1702353281
168,saldanha,-33.0117,17.9442,289.18,76,62,9.64,ZA,1702353281
169,sitka,57.0531,-135.33,281.09,71,100,8.23,US,1702353281
170,argo,37.6333,22.7333,286.36,81,22,1.89,GR,1702353282
